Submission Date & Time,Issue Type,Urgency,Priority,Description Details,Resolution Time (Hours)
2024-10-01 10:49:00,Configuration Change,Scheduled,Medium,Default description of configuration change with scheduled urgency.,6.6
2024-10-01 20:39:00,Compliance Check,Critical,High,Default description of compliance check with critical urgency.,2.1
2024-10-01 20:59:00,System Outage,Critical,Low,Default description of system outage with critical urgency.,1.2
2024-10-02 07:43:00,Data Discrepancy,High,High,Default description of data discrepancy with high urgency.,1.5
2024-10-02 01:15:00,Access Request,Routine,Low,Default description of access request with routine urgency.,58.2
2024-10-02 00:19:00,Software Update,Critical,Low,Default description of software update with critical urgency.,2.2
2024-10-01 13:21:00,System Outage,Low,Medium,Default description of system outage with low urgency.,4.6
2024-10-02 07:58:00,Feature Request,Critical,Low,Default description of feature request with critical urgency.,1.4
2024-10-02 03:16:00,Compliance Check,Scheduled,Medium,Default description of compliance check with scheduled urgency.,5.6
2024-10-01 21:31:00,Data Discrepancy,Critical,Low,Default description of data discrepancy with critical urgency.,3.9
2024-10-01 09:28:00,Bug Report,Moderate,Low,Default description of bug report with moderate urgency.,23.4
2024-10-01 09:25:00,System Outage,High,Medium,Default description of system outage with high urgency.,10.3
2024-10-01 14:01:00,Compliance Check,Scheduled,Low,Default description of compliance check with scheduled urgency.,25.5
2024-10-01 19:25:00,Bug Report,High,Medium,Default description of bug report with high urgency.,9.7
2024-10-02 05:38:00,Feature Request,Critical,High,Default description of feature request with critical urgency.,2.2
2024-10-01 16:20:00,Compliance Check,Critical,Medium,Default description of compliance check with critical urgency.,3.7
2024-10-01 13:53:00,Security Incident,Low,Medium,Default description of security incident with low urgency.,10.2
2024-10-01 13:46:00,Data Discrepancy,Critical,Low,Default description of data discrepancy with critical urgency.,2.3
2024-10-01 11:31:00,Data Discrepancy,Low,Medium,Default description of data discrepancy with low urgency.,8.1
2024-10-02 00:57:00,System Outage,Routine,High,Default description of system outage with routine urgency.,2.2
2024-10-01 10:38:00,Security Incident,Scheduled,Low,Default description of security incident with scheduled urgency.,40.5
2024-10-02 03:07:00,Access Request,High,High,Default description of access request with high urgency.,1.9
2024-10-01 17:43:00,Software Update,High,High,Default description of software update with high urgency.,1.6
2024-10-02 07:06:00,Software Update,Routine,High,Default description of software update with routine urgency.,3.9
2024-10-02 01:30:00,System Outage,Routine,Low,Default description of system outage with routine urgency.,33.0
2024-10-01 20:48:00,System Outage,Routine,Medium,Default description of system outage with routine urgency.,7.4
